date,market_cap
2017-10-18,696021404.3079604
2017-10-19,695622018.2559936
2017-10-20,785580027.6424098
2017-10-21,741202123.8797704
2017-10-22,720669848.4724126
2017-10-23,675273816.053428
2017-10-24,710852942.3615782
2017-10-25,707013105.4597949
2017-10-26,689437113.7144977
2017-10-27,687316826.4044167
2017-10-28,673492286.1223357
2017-10-29,735085222.7844126
2017-10-30,735950462.4388821
2017-10-31,784322281.6027644
2017-11-01,598812560.9812648
2017-11-02,552780115.686688
2017-11-03,590863052.9170463
2017-11-04,565264037.9883977
2017-11-05,571077843.8126849
2017-11-06,578266095.092228
2017-11-07,577877214.2109797
2017-11-08,651971147.3307619
2017-11-09,849617009.7707922
2017-11-10,707628644.4042084
2017-11-11,712956034.570149
2017-11-12,635774572.7517922
2017-11-13,651139900.5067863
2017-11-14,680023121.191746
2017-11-15,674481157.867525
2017-11-16,702786226.652537
2017-11-17,671945487.478645
2017-11-18,687786073.938608
2017-11-19,718729791.325827
2017-11-20,777883050.122379
2017-11-21,741467951.324501
2017-11-22,744924903.206561
2017-11-23,724419632.811637
2017-11-24,739231013.334716
2017-11-25,793751757.583795
2017-11-26,999433438.691236
2017-11-27,1308514307.56615
2017-11-28,3130063311.79723
2017-11-29,2401776731.97084
2017-11-30,3216634513.08707
2017-12-01,3392534112.11863
2017-12-02,3507674559.84146
2017-12-03,3420520703.41699
2017-12-04,3534332361.0504
2017-12-05,3403344673.62041
2017-12-06,3344540395.15708
2017-12-07,2942716690.04155
2017-12-08,3105314029.77127
2017-12-09,3164909210.30234
2017-12-10,2871505505.06286
2017-12-11,3115612115.86568
2017-12-12,3463179987.1099
2017-12-13,3483989039.4741
2017-12-14,5626468819.76509
2017-12-15,5642622686.12803
2017-12-16,10583545519.8641
2017-12-17,12330642063.9879
2017-12-18,13142298925.0217
2017-12-19,14203659365.4663
2017-12-20,12763812409.1896
2017-12-21,12909971958.0506
2017-12-22,10749807285.5968
2017-12-23,11313893784.0892
2017-12-24,10543065492.8002
2017-12-25,11010303256.014
2017-12-26,11660878365.3454
2017-12-27,11163150600.8902
2017-12-28,11135816855.0912
2017-12-29,14138266037.1358
2017-12-30,17593573142.3395
2017-12-31,19902516520.1189
2018-01-01,19371162465.4129
2018-01-02,20934301068.7051
2018-01-03,27882000207.037376
2018-01-04,30577013247.750748
2018-01-05,27944745852.34255
2018-01-06,28358515684.962
2018-01-07,27297411640.984287
2018-01-08,24420705964.95028
2018-01-09,22458068418.789967
2018-01-10,21167941691.567257
2018-01-11,18860951569.23562
2018-01-12,24950362576.850266
2018-01-13,24317185758.156223
2018-01-14,21827729140.9422
2018-01-15,21322528449.849503
2018-01-16,16547116341.812134
2018-01-17,16841373613.692904
2018-01-18,17406297666.39785
2018-01-19,17260984826.57194
2018-01-20,19030494009.787533
2018-01-21,16308985081.69988
2018-01-22,15072732765.27117
2018-01-23,14644928136.54389
2018-01-24,16201246474.65611
2018-01-25,16583948028.889128
2018-01-26,16090366555.84459
2018-01-27,16216442032.255064
2018-01-28,16348997933.466618
2018-01-29,15361030088.121368
2018-01-30,15243800575.340412
2018-01-31,13008040886.538809
2018-02-01,12949584182.16657
2018-02-02,10679880232.857231
2018-02-03,10368309335.206608
2018-02-04,11616435329.209091
2018-02-05,10242880678.661112
2018-02-06,8037693087.781534
2018-02-07,9333118561.777338
2018-02-08,8562541270.261039
2018-02-09,8876694440.63103
2018-02-10,9780883840.490557
2018-02-11,9967788470.048504
2018-02-12,9208198538.78658
2018-02-13,9642817703.442707
2018-02-14,9197821234.78999
2018-02-15,10001199718.785206
2018-02-16,10135162525.688318
2018-02-17,10131317515.171017
2018-02-18,10753391912.094912
2018-02-19,9562010500.488642
2018-02-20,9688038375.967484
2018-02-21,9234726032.628311
2018-02-22,8179586702.803375
2018-02-23,8227943261.568291
2018-02-24,8439110489.178212
2018-02-25,7851368481.219357
2018-02-26,8609287739.963198
2018-02-27,8519393200.267969
2018-02-28,8558229137.487253
2018-03-01,7928659808.4275055
2018-03-02,7773696581.449849
2018-03-03,7555437035.662185
2018-03-04,7512107676.780925
2018-03-05,7676935261.594904
2018-03-06,7652999348.694283
2018-03-07,7216613807.962062
2018-03-08,6341032338.29802
2018-03-09,5593477586.097112
2018-03-10,5477088005.978487
2018-03-11,5315540005.62983
2018-03-12,5703813864.632639
2018-03-13,5821720867.547898
2018-03-14,5745183583.933478
2018-03-15,5192598889.0353775
2018-03-16,4857255772.470365
2018-03-17,4720487462.286379
2018-03-18,4097517382.940725
2018-03-19,4045986534.749374
2018-03-20,5046357646.364046
2018-03-21,5282805381.305196
2018-03-22,5597186818.920311
2018-03-23,5283296834.798735
2018-03-24,4907672061.541784
2018-03-25,4903246900.005553
2018-03-26,4792778941.808358
2018-03-27,4350695257.030703
2018-03-28,4036200883.1694
2018-03-29,4145808904.641328
2018-03-30,3791998051.5225577
2018-03-31,3804043139.597956
2018-04-01,4032488129.163164
2018-04-02,3931704554.283766
2018-04-03,4057668691.5807943
2018-04-04,4481807929.111985
2018-04-05,4036647887.1739626
2018-04-06,3893895204.597785
2018-04-07,3743531502.0211625
