date,market_cap
2017-11-09,78881828.34824735
2017-11-10,66162748.000257306
2017-11-11,63427934.797573335
2017-11-12,59504620.60993513
2017-11-13,63241859.46110361
2017-11-14,64418345.0706298
2017-11-15,66582146.294247
2017-11-16,59085402.3417718
2017-11-17,54989182.8776909
2017-11-18,59638905.5231861
2017-11-19,56546725.2054073
2017-11-20,56594763.5971711
2017-11-21,54369086.0972911
2017-11-22,60198128.2720188
2017-11-23,58392706.2392644
2017-11-24,67770506.603374
2017-11-25,63564965.0839048
2017-11-26,63339603.1660668
2017-11-27,64938662.1770336
2017-11-28,64000010.0644418
2017-11-29,51863911.6446025
2017-11-30,61785854.2851622
2017-12-01,62756735.184557
2017-12-02,73342592.805409
2017-12-03,81403474.631696
2017-12-04,80596472.8425626
2017-12-05,106452342.853388
2017-12-06,107702259.615245
2017-12-07,98862965.5709783
2017-12-08,89149491.0173869
2017-12-09,84799526.1278679
2017-12-10,90845230.7555341
2017-12-11,94046113.5423837
2017-12-12,80600382.7027242
2017-12-13,91949689.1829396
2017-12-14,114392334.054448
2017-12-15,113354416.780712
2017-12-16,120844222.734463
2017-12-17,151742169.613005
2017-12-18,139353068.921663
2017-12-19,158156421.800708
2017-12-20,135566129.440982
2017-12-21,157922205.40931
2017-12-22,150019080.418997
2017-12-23,224345897.937714
2017-12-24,200020019.178327
2017-12-25,180638779.674941
2017-12-26,190152652.218238
2017-12-27,187526380.959805
2017-12-28,186750567.208196
2017-12-29,177231369.934198
2017-12-30,216280107.947787
2017-12-31,226090423.012549
2018-01-01,262861550.520577
2018-01-02,241285883.928873
2018-01-03,246618032.7991248
2018-01-04,362889115.2910781
2018-01-05,348801126.3165049
2018-01-06,398611296.7216191
2018-01-07,470213169.0883109
2018-01-08,508505923.25804955
2018-01-09,465761563.63869387
2018-01-10,423129073.8614116
2018-01-11,379610003.3527333
2018-01-12,391620837.5987234
2018-01-13,408159719.3492037
2018-01-14,372465174.586978
2018-01-15,326253844.9939553
2018-01-16,268444843.66889375
2018-01-17,251245087.55798063
2018-01-18,263522917.89871353
2018-01-19,291552260.36712736
2018-01-20,445424103.27129
2018-01-21,317530034.61161274
2018-01-22,285326223.08265775
2018-01-23,284535367.1162146
2018-01-24,278525458.36981314
2018-01-25,266564723.08079728
2018-01-26,247310654.86063996
2018-01-27,290982058.05270624
2018-01-28,266677162.97456452
2018-01-29,243106244.33849975
2018-01-30,242850582.2757922
2018-01-31,209261439.4661981
2018-02-01,215872863.22598985
2018-02-02,180648874.09792173
2018-02-03,172105940.84236065
2018-02-04,178116780.7877058
2018-02-05,153185952.74070933
2018-02-06,120692505.05243522
2018-02-07,148282449.81791803
2018-02-08,132272791.29189354
2018-02-09,142981337.7982805
2018-02-10,151638057.57269236
2018-02-11,147392016.23324093
2018-02-12,147439232.1215746
2018-02-13,184608768.564527
2018-02-14,197937146.23128077
2018-02-15,198902725.3850872
