date,market_cap
2015-01-01,17803324.487520907
2015-01-02,17847327.829851262
2015-01-03,16323200.16345194
2015-01-04,15385008.373915909
2015-01-05,15602472.33662792
2015-01-06,16448463.56190488
2015-01-07,16889825.69755201
2015-01-08,16468151.135741305
2015-01-09,16655517.074789329
2015-01-10,15947420.962715449
2015-01-11,15651426.830625802
2015-01-12,15291501.08199948
2015-01-13,13060605.880534803
2015-01-14,11131350.477998309
2015-01-15,13701628.580790237
2015-01-16,13715435.97476578
2015-01-17,13221857.129972614
2015-01-18,13475161.2063957
2015-01-19,13712589.629115136
2015-01-20,13774233.530484367
2015-01-21,14951688.17392989
2015-01-22,15136989.166790972
2015-01-23,15223921.238282464
2015-01-24,16223888.923208272
2015-01-25,16392644.697832126
2015-01-26,15962842.927596131
2015-01-27,15591744.719203511
2015-01-29,14173979.943110298
2015-01-30,13885525.2832997
2015-01-31,13540511.947591512
2015-02-01,14070637.549415683
2015-02-02,14768461.381304609
2015-02-03,14282973.17623866
2015-02-04,14222846.462170696
2015-02-05,13692889.269821191
2015-02-06,14124030.271990295
2015-02-07,14217880.825953284
2015-02-08,13887014.176683985
2015-02-09,13782690.41983904
2015-02-10,13714326.208135149
2015-02-11,13580705.43723223
2015-02-12,13808427.476817682
2015-02-13,14027110.978795351
2015-02-14,14781593.656966127
2015-02-15,13857226.31646614
2015-02-16,14144234.71707467
2015-02-17,14306162.074009525
2015-02-18,13866125.569611063
2015-02-19,14168271.508325497
2015-02-20,14043418.403404746
2015-02-21,14079461.305895532
2015-02-22,13773360.457557555
2015-02-23,13835316.02826744
2015-02-24,13885689.813750245
2015-02-25,14009543.34667823
2015-02-26,14005396.220873842
2015-02-27,14342974.5833118
2015-02-28,14231008.091558143
2015-03-01,14363099.001620833
2015-03-02,14312857.418274656
2015-03-03,14104284.992322491
2015-03-04,14059711.406437024
2015-03-05,13810911.00358276
2015-03-06,13850802.017666264
2015-03-07,13822358.833760057
2015-03-08,13782366.853683824
2015-03-09,14034769.401847294
2015-03-10,13704906.459467348
2015-03-11,14110525.062943518
2015-03-12,14005374.717923284
2015-03-13,13856093.866548069
2015-03-14,14048975.49007999
2015-03-15,13957425.77656962
2015-03-16,14232081.963148177
2015-03-17,14137909.455362145
2015-03-18,12922979.167017316
2015-03-19,13181321.925050246
2015-03-20,13015294.656422662
2015-03-21,12910396.999198675
2015-03-22,13044561.46666189
2015-03-23,13490933.088858176
2015-03-24,12767257.317178398
2015-03-25,12852096.817252005
2015-03-26,12963689.060181184
2015-03-27,12586160.70437458
2015-03-28,12880285.24846278
2015-03-29,12457250.040748648
2015-03-30,12459712.394418128
2015-03-31,12303088.053864932
2015-04-01,12477676.075119471
2015-04-02,12553265.501982383
2015-04-03,12572282.10206807
2015-04-04,12459645.677992746
2015-04-05,12372449.97882108
2015-04-06,12171918.34045562
2015-04-07,11945548.688303908
2015-04-08,11494392.504596837
2015-04-09,11392924.914903328
2015-04-10,11108341.993756434
2015-04-11,11270668.171436995
2015-04-12,11126641.840676866
2015-04-13,10572994.90554381
2015-04-14,10120125.448732223
2015-04-15,10429463.011665594
2015-04-16,10737647.29976804
2015-04-17,10599570.456995614
2015-04-18,10439627.844013762
2015-04-19,10508777.041978706
2015-04-20,10195954.857471164
2015-04-21,10851266.990020324
2015-04-22,10879105.187150028
2015-04-23,10806295.485074228
2015-04-24,10335151.325405762
2015-04-25,10248726.455862328
2015-04-26,9821480.655130183
2015-04-27,10351703.797983645
2015-04-28,9784772.80107071
2015-04-29,9773543.853623489
2015-04-30,10192849.694294885
2015-05-01,9827740.647975303
2015-05-02,9708918.079558987
2015-05-03,9009657.107141364
2015-05-04,9007125.459945546
2015-05-05,8788832.46521041
2015-05-06,8628938.461073738
2015-05-07,8832717.245114181
2015-05-08,9109969.032349484
2015-05-09,9139273.205354633
2015-05-10,9038933.76431564
2015-05-11,9034125.904647715
2015-05-12,10933175.859235656
2015-05-13,11418890.953569924
2015-05-14,11308198.753419314
2015-05-15,11930212.867518682
2015-05-16,11536784.84718621
2015-05-17,11392465.380714318
2015-05-18,11449976.259611426
2015-05-19,11839813.748914214
2015-05-20,13150221.689808184
2015-05-21,13166821.382567966
2015-05-22,13961418.297024824
2015-05-23,13800130.078903006
2015-05-24,14155938.737656465
2015-05-25,14045221.292170975
2015-05-26,15953296.030614108
2015-05-27,18166714.644204143
2015-05-28,19135944.448019966
2015-05-29,17457415.392615985
2015-05-30,16063206.216484249
2015-05-31,15279410.25837943
2015-06-01,14148765.178538952
2015-06-02,15838911.335039672
2015-06-03,15040584.85110238
2015-06-04,14797522.044454211
2015-06-05,15150963.91541572
2015-06-06,15694689.759102557
2015-06-07,15192897.555787563
2015-06-08,15814011.019011527
2015-06-09,16054174.30958481
2015-06-10,15388416.539370071
2015-06-11,15480022.323193444
2015-06-12,15504398.306013832
2015-06-13,16123803.059933929
2015-06-14,16372118.514331833
2015-06-15,16657423.19313534
2015-06-16,19261695.987727266
2015-06-17,18978988.63066863
2015-06-18,20232501.334375
2015-06-19,19936451.565241978
2015-06-20,19991212.834648535
2015-06-21,19751023.62784206
2015-06-22,19776086.420054175
2015-06-23,18645970.404449005
2015-06-24,18227902.617718972
2015-06-25,18449563.39124424
2015-06-26,18135926.977000695
2015-06-27,19635731.5382886
2015-06-28,18937761.32742587
2015-06-29,20015108.783298217
2015-06-30,19818139.95540675
2015-07-01,19102960.62892336
2015-07-02,18976632.289369028
2015-07-03,18950262.500725392
2015-07-04,19157861.05263815
2015-07-05,19068905.8767094
2015-07-06,18963823.23221247
2015-07-07,18798058.10023133
2015-07-08,18767469.06368098
2015-07-09,19367834.3317186
2015-07-10,20188232.268539812
2015-07-11,19362556.13027887
2015-07-12,20534523.699095458
2015-07-13,19954705.925498545
2015-07-14,19935486.22657124
2015-07-15,18522350.64200906
2015-07-16,17167220.154881638
2015-07-17,17951743.682139274
2015-07-18,17830778.98458118
2015-07-19,16957663.385844745
2015-07-20,17325498.478789758
2015-07-21,16879161.400920298
2015-07-22,18351660.397962343
2015-07-23,17786311.150839347
2015-07-24,18762267.493383337
2015-07-25,18878038.33976517
2015-07-26,18780813.05983035
2015-07-27,18785692.691084765
2015-07-28,18854242.851653
2015-07-29,18434453.90671263
