date,market_cap
2015-08-07,0.0
2015-08-08,80339475.0
2015-08-10,41556309.21112176
2015-08-11,64539006.306272194
2015-08-12,76013261.05415402
2015-08-13,110468836.22388984
2015-08-14,110555313.2602532
2015-08-15,101215246.3781064
2015-08-16,89480939.24025029
2015-08-17,87313387.94547918
2015-08-18,92957858.0620156
2015-08-19,90920695.86547752
2015-08-20,107749185.84108424
2015-08-21,102131022.8278611
2015-08-22,100308763.78229792
2015-08-23,98488001.44464436
2015-08-24,90625948.31797116
2015-08-25,84423109.08066371
2015-08-26,81454879.46968535
2015-08-27,82504022.8230964
2015-08-28,86549490.63266213
2015-08-29,85515599.87435573
2015-08-30,96321049.6917207
2015-08-31,98608290.53954794
2015-09-01,98446826.49425755
2015-09-02,93224371.25915022
2015-09-03,92075482.6329798
2015-09-04,92596631.55333725
2015-09-05,97402782.61913484
2015-09-06,94801706.70501994
2015-09-07,91718481.31789044
2015-09-08,90274690.39947064
2015-09-09,88150718.66876175
2015-09-10,85308945.82326
2015-09-11,71394234.94958797
2015-09-12,75931677.01254052
2015-09-13,68673818.80135794
2015-09-14,63965969.21105757
2015-09-15,68951445.2301325
2015-09-16,66147947.57992838
2015-09-17,64693831.07862287
2015-09-18,62003275.12077277
2015-09-19,64666306.22983543
2015-09-20,68666556.12460059
2015-09-21,66105164.81214318
2015-09-22,65835322.779180124
2015-09-23,65633959.754653834
2015-09-24,59927327.71396765
2015-09-25,54400658.247102216
2015-09-26,57158415.438244216
2015-09-27,53028193.82255717
2015-09-28,42874816.973063745
2015-09-29,48389042.902712226
2015-09-30,54065419.507539704
2015-10-01,50481342.52886205
2015-10-02,49792779.28891763
2015-10-03,50638684.01549935
2015-10-04,49187272.3502002
2015-10-05,46307572.65224096
2015-10-06,47605896.39364778
2015-10-07,44984157.19104538
2015-10-08,45977519.79859987
2015-10-09,47989631.2526218
2015-10-10,46490996.55001768
2015-10-11,47026115.24213034
2015-10-12,46416611.842303865
2015-10-13,44485499.29942276
2015-10-14,38272635.02078042
2015-10-15,41527413.54435173
2015-10-16,39443831.31743269
2015-10-17,40632190.61699083
2015-10-18,38382124.41691709
2015-10-19,36070935.31062339
2015-10-20,32076052.631905656
2015-10-21,32590298.008333907
2015-10-22,41918540.78268511
2015-10-23,40100107.0136459
2015-10-24,42179070.75754259
2015-10-25,46895926.25706037
2015-10-26,55226993.78944921
2015-10-27,63451496.574236006
2015-10-28,75057962.81264551
2015-10-29,86478981.5524642
2015-10-30,77447839.42741764
2015-10-31,67453442.47710526
2015-11-01,78742733.24541084
2015-11-02,71066352.05814125
2015-11-03,74613449.56251672
2015-11-04,67152505.55125615
2015-11-05,67532501.09696001
2015-11-06,67767390.10082617
2015-11-07,68761146.27837914
2015-11-08,76839299.32470989
2015-11-09,74277547.07634276
2015-11-10,69753492.14382021
2015-11-11,58873875.70678452
2015-11-12,67254888.20415637
2015-11-13,67527257.40972713
2015-11-14,66066714.4889687
2015-11-15,68078325.7946219
2015-11-16,69812830.40735959
2015-11-17,74440734.3005621
2015-11-18,74402718.74542972
2015-11-19,71212297.76056388
2015-11-20,69388368.57982641
2015-11-21,72914368.80252853
2015-11-22,72276339.25126061
2015-11-23,70839197.81949022
2015-11-24,67424299.39769948
2015-11-25,65072847.332706206
