date,market_cap
2020-10-15,915358566.5801964
2020-10-16,915358566.5801964
2020-10-17,696448104.4626515
2020-10-18,685643708.4308554
2020-10-19,547941026.327637
2020-10-20,589652748.8900975
2020-10-21,561260924.5694939
2020-10-22,504058107.7526195
2020-10-23,457773215.5734711
2020-10-24,498912998.76787466
2020-10-25,533304564.1533651
2020-10-26,831426219.0333772
2020-10-27,735842404.2936687
2020-10-28,810185443.2369088
2020-10-29,789683425.6468997
2020-10-30,785185480.0337508
2020-10-31,723733376.0240886
2020-11-01,790579447.5429804
2020-11-02,824027456.289055
2020-11-03,797862243.2950337
2020-11-04,784453957.084558
2020-11-05,808899170.7512995
2020-11-06,848688650.7816124
2020-11-07,932478272.7988048
2020-11-08,898570414.518341
2020-11-09,946765111.5270144
2020-11-10,980175251.297319
2020-11-11,971324219.7046407
2020-11-12,977836168.151562
2020-11-13,980940186.3146718
2020-11-14,989163131.68572
2020-11-15,1010701349.2476012
2020-11-16,972306708.8565435
2020-11-17,983242022.5802612
2020-11-18,1053531538.706992
2020-11-19,1065566004.7832322
2020-11-20,1078997738.3542826
2020-11-21,1104845751.636248
2020-11-22,1152020550.603267
2020-11-23,1136336865.4502778
2020-11-24,1159770309.1231425
2020-11-25,1202725591.670472
2020-11-26,1264360564.8794208
2020-11-27,1249059351.628235
2020-11-28,1269516701.928657
2020-11-29,1287329451.1674116
2020-11-30,1305347569.5699754
2020-12-01,1343914271.7988677
2020-12-02,1350662411.9702575
2020-12-03,1366916570.9937828
2020-12-04,1354592881.154428
2020-12-05,1298555662.3133624
2020-12-06,1331599671.2784326
2020-12-07,1305959182.3082852
2020-12-08,1360443036.0415494
2020-12-09,1336608928.1296468
2020-12-10,1360379788.540105
2020-12-11,1367452564.0494237
2020-12-12,1335651652.1960728
2020-12-13,1339216964.073594
2020-12-14,1340054073.0953798
2020-12-15,1310997955.8092475
2020-12-16,1299271237.7283945
2020-12-17,1268748005.778233
2020-12-18,1269199574.8423693
2020-12-19,1268920902.3581283
2020-12-20,1260896801.4375882
2020-12-21,1265640429.2541573
2020-12-22,1116963470.7828884
2020-12-23,1098521764.2124968
2020-12-24,1002020727.4238386
2020-12-25,1070477089.0000272
2020-12-26,1066903272.1972156
2020-12-27,1053399876.4856431
2020-12-28,996416285.453616
2020-12-29,984958783.1406096
2020-12-30,910450449.0266372
2020-12-31,971502565.7987248
2021-01-01,1085852456.2044303
2021-01-02,997801424.66661
2021-01-03,972755571.7195724
2021-01-04,961823165.8483748
2021-01-05,933651801.4490068
2021-01-06,965061654.5564218
2021-01-07,981791589.808168
2021-01-08,985030080.1124636
2021-01-09,963811421.3661202
2021-01-10,992984336.0991168
2021-01-11,1050431927.9268968
2021-01-12,963053856.3708664
2021-01-13,942008771.8480518
2021-01-14,967935922.4577
2021-01-15,961793556.0164002
2021-01-16,961842010.9547048
2021-01-17,1017544913.0502764
2021-01-18,1086015386.889698
2021-01-19,1054182976.92541
2021-01-20,1016126534.6996398
2021-01-21,999485111.4107952
2021-01-22,959850230.101953
2021-01-23,1013184171.7935616
2021-01-24,1030043615.6160412
2021-01-25,1041453667.3598424
2021-01-26,1030150090.3237168
2021-01-27,1022176234.786614
2021-01-28,993902507.9448189
2021-01-29,1015996115.5149173
2021-01-30,1045513789.004752
2021-01-31,1036800625.6575936
2021-02-01,1052624446.4618396
2021-02-02,1073176630.2547332
2021-02-03,1079812140.2858324
2021-02-04,1110368380.3902166
2021-02-05,1112234002.2407944
2021-02-06,1188786069.8665297
2021-02-07,1186863367.8317685
2021-02-08,1175194860.1859305
2021-02-09,1374842804.4478023
2021-02-10,2142897308.3311503
2021-02-11,1971932959.0708215
2021-02-12,1998338676.53342
2021-02-13,2140422574.16398
2021-02-14,2142329180.746354
2021-02-15,2440728114.286204
2021-02-16,2228229756.2017245
2021-02-17,2198005616.5604706
2021-02-18,2268914317.126997
2021-02-19,2287446142.634004
2021-02-20,2303472010.7398977
2021-02-21,2315945991.570518
2021-02-22,2425826130.089612
2021-02-23,2146856903.1900072
2021-02-24,1924240469.6353104
2021-02-25,2010058408.662299
2021-02-26,1910955685.2741044
2021-02-27,1941888070.551741
2021-02-28,2110732695.982334
2021-03-01,2003104136.5022893
2021-03-02,2164153550.192331
2021-03-03,2153057387.8752384
