date,market_cap
2015-01-01,95598027.0345911
2015-01-02,94462293.5051274
2015-01-03,76365379.003475
2015-01-04,68507702.54035832
2015-01-05,73669625.79602991
2015-01-06,75435126.11663717
2015-01-07,76325689.97482271
2015-01-08,72151239.43075818
2015-01-09,71264251.85728167
2015-01-10,58640142.1062897
2015-01-11,62632547.08303211
2015-01-12,61350586.71252326
2015-01-13,55830508.87867226
2015-01-14,40881293.24422413
2015-01-15,45717436.18298776
2015-01-16,49809042.70607825
2015-01-17,46967052.65829935
2015-01-18,47512762.33152169
2015-01-19,48064774.29929986
2015-01-20,47610607.763135314
2015-01-21,48568592.44631296
2015-01-22,50773120.21446677
2015-01-23,51653373.17937494
2015-01-24,66603380.54479714
2015-01-25,81157090.79325746
2015-01-26,75297301.53676389
2015-01-27,71436654.08410104
2015-01-29,69401710.67386627
2015-01-30,69279637.79364382
2015-01-31,67863419.69642371
2015-02-01,65328393.14298136
2015-02-02,68119482.97031958
2015-02-03,65709515.35060989
2015-02-04,65319037.789033055
2015-02-05,63226356.618838646
2015-02-06,63523497.545614
2015-02-07,64935274.35572568
2015-02-08,64931546.1908609
2015-02-09,63106712.211016595
2015-02-10,64299576.974481314
2015-02-11,63139571.14273446
2015-02-12,64164673.66190583
2015-02-13,66407423.480796345
2015-02-14,70597996.72166598
2015-02-15,67102908.598053224
2015-02-16,66070666.98217195
2015-02-17,67771895.85285106
2015-02-18,66430360.46506815
2015-02-19,67420410.78362274
2015-02-20,67553926.39710459
2015-02-21,67722452.09810592
2015-02-22,65931191.56173267
2015-02-23,66470833.28832439
2015-02-24,67016275.32114809
2015-02-25,66384095.397638224
2015-02-26,66140157.39845226
2015-02-27,68335086.58796273
2015-02-28,67721765.38413551
2015-03-01,69410421.36245254
2015-03-02,70619319.85904312
2015-03-03,72101340.651327
2015-03-04,71602938.32789531
2015-03-05,71077982.49919808
2015-03-06,70585394.17744094
2015-03-07,71105473.62119067
2015-03-08,70405502.7561956
2015-03-09,71625399.2527914
2015-03-10,74358858.35113509
2015-03-11,75015217.49181716
2015-03-12,76252007.52081333
2015-03-13,74992190.92781237
2015-03-14,74316085.31887148
2015-03-15,75212484.18593943
2015-03-16,75578293.92860764
2015-03-17,74035584.3945308
2015-03-18,65146014.536913544
2015-03-19,66203211.487067156
2015-03-20,66267918.70087314
2015-03-21,65572768.79026892
2015-03-22,67442234.99295685
2015-03-23,66961566.55560565
2015-03-24,62934348.63342049
2015-03-25,63229420.79839855
2015-03-26,63660006.04501281
2015-03-27,63743490.806227505
2015-03-28,63910309.60078962
2015-03-29,62278367.76249495
2015-03-30,63064218.43378149
2015-03-31,62021503.406679325
2015-04-01,62794932.303207
2015-04-02,63599787.86341251
2015-04-03,63821416.81839975
2015-04-04,63592253.25143494
2015-04-05,64360709.33560182
2015-04-06,63634817.524013035
2015-04-07,63351839.892584495
2015-04-08,61736926.01431601
2015-04-09,60073502.01438226
2015-04-10,57612579.64189957
2015-04-11,55334719.24760845
2015-04-12,55904693.42496514
2015-04-13,52472340.46667761
2015-04-14,52474290.26117749
2015-04-15,52651850.92655497
2015-04-16,53949877.85560037
2015-04-17,54084906.50213897
2015-04-18,53880917.35655309
2015-04-19,53394113.58916362
2015-04-20,53858966.37575162
2015-04-21,54843511.69961277
2015-04-22,55800963.38788012
2015-04-23,55912445.97715256
2015-04-24,54660820.855837464
2015-04-25,53780656.67529527
2015-04-26,51124091.586632214
2015-04-27,53549818.17481395
2015-04-28,52734236.39560297
2015-04-29,53081042.02642464
2015-04-30,55819619.684199065
2015-05-01,54583268.24177028
2015-05-02,55086214.86913855
2015-05-03,55359672.215187885
2015-05-04,54642506.22593724
2015-05-05,54600716.29122413
2015-05-06,53928958.56565237
2015-05-07,56276887.86358906
2015-05-08,57130355.05295208
2015-05-09,56108852.030066445
2015-05-10,55588419.07166329
2015-05-11,55646744.42151612
2015-05-12,55889978.880267575
2015-05-13,56244787.00116086
2015-05-14,56065383.856893755
2015-05-15,56296058.302733175
2015-05-16,56007232.35287402
2015-05-17,56304020.53599704
2015-05-18,55868539.75386575
2015-05-19,56211603.98194163
2015-05-20,56477967.60197404
2015-05-21,57251686.49985774
2015-05-22,71892013.80085729
2015-05-23,71413294.85832486
2015-05-24,71695033.11948816
2015-05-25,70640665.65848081
2015-05-26,71275159.20760258
2015-05-27,72566152.88889396
2015-05-28,72229125.77356768
2015-05-29,72252855.426298
2015-05-30,71291668.669139
2015-05-31,64406854.3183976
2015-06-01,63889490.46540931
2015-06-02,66011620.438603565
2015-06-03,66786070.076021686
2015-06-04,65858983.498044774
2015-06-05,69293408.14642315
2015-06-06,69458531.28512661
2015-06-07,68727285.86639816
2015-06-08,70711477.80919573
2015-06-09,71199410.30649753
2015-06-10,69705504.46443915
2015-06-11,71235895.28170355
2015-06-12,71416681.83702564
2015-06-13,73638159.02224898
2015-06-14,78852787.77158552
2015-06-15,79598672.08798335
2015-06-16,112884561.03934067
2015-06-17,113280636.3968767
2015-06-18,122407639.33052737
2015-06-19,110774683.3197376
2015-06-20,119593039.2764112
2015-06-21,120942896.76337752
2015-06-22,121362877.49592252
2015-06-23,119232914.31566036
2015-06-24,112439382.42367564
2015-06-25,114323631.55369876
2015-06-26,114977357.06398083
2015-06-27,124756450.62550455
2015-06-28,123496090.71980707
2015-06-29,148936222.6617672
2015-06-30,165755977.57625794
2015-07-01,158562626.15152505
2015-07-02,165428873.91094515
2015-07-03,167547499.96922916
2015-07-04,167611680.3520748
2015-07-05,194038596.30058396
2015-07-06,219701264.46400395
2015-07-07,214088405.06228596
2015-07-08,255860208.5897993
2015-07-09,311287606.1441751
2015-07-10,180251779.5818848
2015-07-11,175917452.98501307
2015-07-12,213776265.4513321
