date,market_cap
2015-01-01,2563380.65570088
2015-01-02,2577241.5905940225
2015-01-03,2655962.5405555437
2015-01-04,2252093.6124801296
2015-01-05,2336725.3359506777
2015-01-06,2569469.0177409593
2015-01-07,2610330.264724492
2015-01-08,2446923.518705961
2015-01-09,2373213.27642683
2015-01-10,2357365.8419819567
2015-01-11,2169123.884533714
2015-01-12,2068119.5813239089
2015-01-13,1726741.6763373185
2015-01-14,1237424.3440977773
2015-01-15,1508568.1765537553
2015-01-16,1601588.958083572
2015-01-17,1398533.1718223705
2015-01-18,1489187.6886168723
2015-01-19,1488397.7226321986
2015-01-20,1396652.2257326234
2015-01-21,1489477.790953076
2015-01-22,1593284.6795638325
2015-01-23,1650657.7776160778
2015-01-24,1809765.760876605
2015-01-25,1916673.7303248777
2015-01-26,1865559.1183188176
2015-01-27,1783712.4959994005
2015-01-29,1905511.67354165
2015-01-30,1781098.6065701505
2015-01-31,1724897.608653211
2015-02-01,1832626.638002358
2015-02-02,1811911.3573784204
2015-02-03,1731678.5464247046
2015-02-04,1705752.280210225
2015-02-05,1662603.7441171715
2015-02-06,1646503.522815365
2015-02-07,1686238.253036246
2015-02-08,1619288.2852222857
2015-02-09,1558748.1638089067
2015-02-10,1510796.280150346
2015-02-11,1439911.113823381
2015-02-12,1542369.041192092
2015-02-13,1596022.8253898416
2015-02-14,1758507.305688847
2015-02-15,1585284.54672615
2015-02-16,1589545.4939713748
2015-02-17,1589090.7885868168
2015-02-18,1515837.602564536
2015-02-19,1788187.856339603
2015-02-20,1923253.0521225247
2015-02-21,1924672.6268071197
2015-02-22,1994554.1332657472
2015-02-23,2131481.832974168
2015-02-24,2244925.3252928155
2015-02-25,2354291.5055399123
2015-02-26,2302997.2146072597
2015-02-27,2495027.139632496
2015-02-28,2699778.1642308203
2015-03-01,2728327.7151143295
2015-03-02,2739934.7992421472
2015-03-03,2697770.409502048
2015-03-04,2704806.5538235246
2015-03-05,3093772.8844972923
2015-03-06,3195626.759851905
2015-03-07,3062423.5451506195
2015-03-08,3228256.5006771223
2015-03-09,4415634.243171683
2015-03-10,5263185.2916094465
2015-03-11,4750839.116407635
2015-03-12,4535331.532484576
2015-03-13,4322265.647230168
2015-03-14,4451330.619101255
2015-03-15,4615493.686790896
2015-03-16,5354526.98821669
2015-03-17,5053635.8198751705
2015-03-18,4295437.232841746
2015-03-19,4594548.331120232
