date,market_cap
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,4028277492.3881054
2020-08-24,3630430965.6868463
2020-08-25,4162344881.7015166
2020-08-26,4910960800.05402
2020-08-27,5508438431.636099
2020-08-28,5147685413.841153
2020-08-29,5563188700.133332
2020-08-30,5580674883.763024
2020-08-31,5350103716.769489
2020-09-01,5712939724.608923
2020-09-02,5693335995.934683
2020-09-03,5597505846.232816
2020-09-04,5294708814.664548
2020-09-05,4675680671.656081
2020-09-06,3750820473.971468
2020-09-07,4394131227.7377405
2020-09-08,4190737575.784357
2020-09-09,3891004373.7933345
2020-09-10,4298181268.775718
2020-09-11,4177237545.060083
2020-09-12,4216287873.46031
2020-09-13,4663414090.094169
2020-09-14,4819470920.9595585
2020-09-15,4874640596.625649
2020-09-16,4673343463.456086
2020-09-17,4634502327.79378
2020-09-18,4871310608.622429
2020-09-19,4771593286.01857
2020-09-20,4511663057.978728
2020-09-21,4287331139.3953447
2020-09-22,3770969365.206551
2020-09-23,3807699809.7726593
2020-09-24,3701917991.062916
2020-09-25,4024415210.879658
2020-09-26,4036996777.528928
2020-09-27,3981431937.9363737
2020-09-28,3966805487.8693743
2020-09-29,4015168631.8723865
2020-09-30,4123709369.604509
2020-10-01,3998481295.7904816
2020-10-02,3982054342.146103
2020-10-03,3786983100.945344
2020-10-04,3739978579.440465
2020-10-05,3849818336.1017737
2020-10-06,3833319535.2399874
2020-10-07,3440251736.5558577
2020-10-08,3541978347.8554893
2020-10-09,3769762007.0828257
2020-10-10,3921415690.922872
2020-10-11,3919459351.7433486
2020-10-12,3916199449.3647904
2020-10-13,3977129133.275723
2020-10-14,3915494879.7760305
2020-10-15,3867261708.4269414
2020-10-16,3777390476.4718738
2020-10-17,3609407515.0339217
2020-10-18,3658072954.952619
2020-10-19,3790640346.14029
2020-10-20,3671134189.284116
2020-10-21,3604225667.8517904
2020-10-22,3812512446.0483255
2020-10-23,3939180404.081174
2020-10-24,3933812312.373021
2020-10-25,4020658006.777102
2020-10-26,4012939180.8089256
2020-10-27,4329655077.1763115
2020-10-28,4340749573.937261
2020-10-29,4034473421.2102537
2020-10-30,3764515251.518611
2020-10-31,3791580626.3780184
2020-11-01,3874741303.681628
2020-11-02,3895006456.472724
2020-11-03,3739887980.073734
2020-11-04,3734301175.476794
2020-11-05,3787360078.116946
2020-11-06,3937088642.149854
2020-11-07,4258511485.891999
2020-11-08,3945482202.1835647
2020-11-09,4078246608.5763006
2020-11-10,4036915102.2553153
2020-11-11,4109275213.3344407
2020-11-12,4142055650.2154303
2020-11-13,4082668445.386233
2020-11-14,4230663243.511702
2020-11-15,4162232116.849595
2020-11-16,4077484365.323717
2020-11-17,4179039016.9363775
2020-11-18,4503849621.370429
2020-11-19,4363793226.847716
2020-11-20,4437744294.637405
2020-11-21,4882026485.544076
2020-11-22,5380273377.455998
2020-11-23,5170209964.717677
2020-11-24,5467632721.652316
2020-11-25,5349446030.631042
2020-11-26,4944330443.97678
2020-11-27,4481218213.2427435
2020-11-28,4472460027.798345
2020-11-29,4574371937.667865
2020-11-30,4847631627.853293
2020-12-01,5021807204.881335
2020-12-02,4783025652.238981
2020-12-03,5133075936.979941
2020-12-04,5064584908.140408
2020-12-05,4723585460.440241
2020-12-06,4859029118.679096
2020-12-07,4812002430.024476
2020-12-08,4750708655.5933
2020-12-09,4473125093.332668
2020-12-10,4580216020.823783
2020-12-11,4520011663.465658
2020-12-12,4350296965.757761
2020-12-13,4455620171.257192
2020-12-14,4593849679.408428
2020-12-15,4612926971.9815445
2020-12-16,4983814223.593981
2020-12-17,5051770600.2730875
2020-12-18,5043374200.259078
2020-12-19,5047179446.47409
2020-12-20,5043012871.235929
2020-12-21,4884986668.975207
2020-12-22,4642851803.926471
2020-12-23,4875242737.61714
2020-12-24,4489530313.422168
2020-12-25,4859778621.300656
2020-12-26,4939071509.721283
2020-12-27,4920780281.244822
2020-12-28,4917775037.589005
2020-12-29,6274967873.493339
2020-12-30,7217589339.709585
2020-12-31,6890483558.510944
2021-01-01,8790589451.482008
2021-01-02,7876734640.506003
2021-01-03,8778072861.213175
2021-01-04,9839572847.117577
2021-01-05,8767297086.336569
2021-01-06,9268615029.823357
2021-01-07,9667925163.928446
2021-01-08,9154780364.803495
2021-01-09,8872846060.524126
2021-01-10,9332171957.95746
2021-01-11,8899676317.009953
2021-01-12,7889136044.384198
2021-01-13,7874265559.834409
2021-01-14,10463214371.418743
2021-01-15,13710583025.260971
2021-01-16,12518186422.369808
2021-01-17,17454759345.0311
2021-01-18,16170957365.959196
2021-01-19,15611727621.338997
2021-01-20,15867491203.42768
2021-01-21,17124488269.973804
2021-01-22,15578426592.67866
2021-01-23,16466661831.919771
2021-01-24,17702992560.13173
2021-01-25,17273184189.924995
2021-01-26,16515904649.551546
2021-01-27,16415459288.594055
2021-01-28,14798283723.45466
2021-01-29,16254766558.700006
2021-01-30,16183669590.285444
2021-01-31,15755706707.425257
2021-02-01,15447495133.606997
2021-02-02,15718566326.160374
2021-02-03,16703247515.16536
2021-02-04,19971174479.345352
2021-02-05,19067536675.01821
2021-02-06,20065986931.370617
2021-02-07,19582739051.288105
2021-02-08,18891743103.597805
2021-02-09,22114659632.659473
2021-02-10,22334799741.81557
2021-02-11,22734504386.84818
2021-02-12,24161179429.366028
2021-02-13,27616676384.90755
2021-02-14,27007038181.38601
2021-02-15,26227319235.22934
2021-02-16,26566488356.9671
2021-02-17,29114114011.07639
2021-02-18,30712299898.00881
2021-02-19,30015246212.94908
2021-02-20,33723084919.03054
2021-02-21,37257080664.757454
