date,market_cap
2015-01-01,755121561.0751997
2015-01-02,753262876.5632
2015-01-03,689881734.704
2015-01-04,584091607.896
2015-01-05,626686461.296
2015-01-06,640626595.136
2015-01-07,645273306.416
2015-01-08,640719529.3616
2015-01-09,637404875.3152
2015-01-10,598062719.8112
2015-01-11,583472046.392
2015-01-12,573806886.9296
2015-01-13,484187315.376
2015-01-14,438866391.3584
2015-01-15,510859438.1232
2015-01-16,508845863.2352
2015-01-17,476566708.8768
2015-01-18,484373183.8272
2015-01-19,495618225.1248
2015-01-20,499025813.3968
2015-01-21,517550702.3664
2015-01-22,526162607.272
2015-01-23,518077329.6448
2015-01-24,519006671.9008
2015-01-25,512253451.5072
2015-01-26,494317145.9664
2015-01-27,489670434.6864
2015-01-28,464237434.9472
2015-01-29,454882056.2368
2015-01-30,448531550.8208
2015-01-31,446363085.5568
2015-02-01,438463676.3808
2015-02-02,425638753.248
2015-02-03,403644319.856
2015-02-04,417336629.0944
2015-02-05,443327234.1872
2015-02-06,486350143.289054
2015-02-07,464971413.725764
2015-02-08,461142387.535324
2015-02-09,446879264.975935
2015-02-10,435583637.714137
2015-02-11,439093578.388707
2015-02-12,448538509.658459
2015-02-13,464843779.519416
2015-02-14,478628273.805
2015-02-15,437498150.809357
2015-02-16,440018926.38473
2015-02-17,446336819.598956
2015-02-18,439285029.698229
2015-02-19,439380755.35299
2015-02-20,430893080.630848
2015-02-21,423681747.972186
2015-02-22,419023099.440484
2015-02-23,425436718.309471
2015-02-24,427510774.162626
2015-02-25,427989402.436431
2015-02-26,424160376.245991
2015-02-27,428659482.019758
2015-02-28,415608884.420675
2015-03-01,391549836.524077
2015-03-02,387529359.024115
2015-03-03,338007286.961091
2015-03-04,315990386.366061
2015-03-05,367937508.349697
2015-03-06,346941681.405451
2015-03-07,337560567.238873
2015-03-08,333795358.151607
2015-03-09,341038599.361856
2015-03-10,322691182.199331
2015-03-11,321670108.548547
2015-03-12,330381143.131798
2015-03-13,336284225.175393
2015-03-14,353642477.238721
2015-03-15,345505796.584036
2015-03-16,350132536.564151
2015-03-17,348345657.675279
2015-03-18,336858579.103959
2015-03-19,334752614.699217
2015-03-20,333157187.119867
2015-03-21,324892872.258834
2015-03-22,325371500.532639
2015-03-23,328594264.242926
2015-03-24,312735714.10418695
2015-03-25,291484618.747245
2015-03-26,279167917.834663
2015-03-27,285039091.326671
2015-03-28,282996944.0251029
2015-03-29,282996944.025103
2015-03-30,282996944.0251031
2015-03-31,282996944.0251029
2015-04-01,243813242.67626703
2015-04-02,252364734.50158295
2015-04-03,278306386.941814
2015-04-04,282326864.441776
2015-04-05,278105200.970779
2015-04-06,280422816.39906555
2015-04-07,289232142.5257182
2015-04-08,293224695.6406237
2015-04-09,283560530.7044646
2015-04-10,269395739.1258977
2015-04-11,267648051.016108
2015-04-12,274223910.6920947
2015-04-13,262556376.77077368
2015-04-14,259619218.59819257
2015-04-15,252103635.0522755
2015-04-16,256879071.93314448
2015-04-17,256868602.1865945
2015-04-18,250837686.9147055
2015-04-19,247698001.7745728
2015-04-20,253141762.36150452
2015-04-21,253758961.8872989
2015-04-22,256277248.2565056
2015-04-23,255912772.1540684
2015-04-24,257825840.7576974
2015-04-25,257598652.92649183
2015-04-26,246265823.9089196
2015-04-27,247561734.81113183
2015-04-28,242870912.43878052
2015-04-29,250556279.73993653
2015-04-30,256139195.12071264
2015-05-01,256125029.6895908
2015-05-02,257189683.58407247
2015-05-03,256463474.51551688
2015-05-04,255824867.45247644
2015-05-05,252483823.63603988
2015-05-06,249313724.62940443
2015-05-07,240077735.63587743
2015-05-08,240527954.4870508
2015-05-09,241273063.05518705
2015-05-10,235114165.72285563
2015-05-11,234844043.83817783
2015-05-12,230163173.47900444
2015-05-13,219592520.97291797
2015-05-14,210714098.67257413
2015-05-15,212461067.33111697
2015-05-16,210118100.5005639
2015-05-17,201740385.33414832
2015-05-18,183080908.39650664
2015-05-19,208495716.98236537
2015-05-20,211463067.6964682
2015-05-21,209290737.03405437
2015-05-22,210272248.63621083
2015-05-23,215929079.80756143
2015-05-24,217035577.89191103
2015-05-25,220469369.1622466
2015-05-26,216357428.17934433
2015-05-27,220046435.0079409
2015-05-28,248212885.66522756
2015-05-29,285999699.75165045
2015-05-30,267399922.398064
2015-05-31,263140957.97488913
2015-06-01,242268219.27502665
2015-06-02,250886640.73438555
2015-06-03,254755081.88782787
2015-06-04,250943265.28697252
2015-06-05,253609873.06931528
2015-06-06,251820141.62264457
2015-06-07,251151818.2386933
2015-06-08,255433126.7447384
2015-06-09,255140875.88072008
2015-06-10,255162493.3542771
2015-06-11,256627305.50548056
2015-06-12,257106720.03266045
2015-06-13,258292724.5384992
2015-06-14,259745779.49088973
2015-06-15,273193636.0642683
2015-06-16,296705209.1239787
2015-06-17,304939077.9441567
2015-06-18,325486107.1061301
2015-06-19,356025173.69104743
2015-06-20,350561018.8776787
2015-06-21,328232520.9661309
2015-06-22,333882568.4888857
2015-06-23,339444600.4205329
2015-06-24,346955581.8918213
2015-06-25,351131193.5633962
2015-06-26,358929329.2408043
2015-06-27,367252301.55460274
2015-06-28,366762164.58630973
2015-06-29,381465577.80622137
2015-06-30,363004527.032343
2015-07-01,358000976.0777611
2015-07-02,351969456.86451554
2015-07-03,354149735.40350777
2015-07-04,344245091.7283724
2015-07-05,319575483.4453703
2015-07-06,314942121.3126551
2015-07-07,305226058.7983972
2015-07-08,299959071.4247548
2015-07-09,282859469.4153367
2015-07-10,282047786.6173982
2015-07-11,271129154.75290906
2015-07-12,273613550.20559794
2015-07-13,271816470.86304104
2015-07-14,274836281.3974372
2015-07-15,270522397.66088736
2015-07-16,258288766.46846184
2015-07-17,255714508.03797415
2015-07-18,257160449.70610628
2015-07-19,257894135.8088965
2015-07-20,253165018.66275457
2015-07-21,245650983.49147335
2015-07-22,241241628.80090508
2015-07-23,238559401.4655115
2015-07-24,244818879.01166743
2015-07-25,251326913.86965683
2015-07-26,258740717.72789177
2015-07-27,272644257.9559378
2015-07-28,269156625.59195805
2015-07-29,271129665.12803835
2015-07-30,270639860.09838665
2015-07-31,269282717.06170905
2015-08-01,262693311.8974932
2015-08-02,262339142.7320967
2015-08-03,264187207.17416656
2015-08-04,263309404.8941802
2015-08-05,262211004.53879705
2015-08-06,255667552.54711255
2015-08-07,259676676.26273337
2015-08-08,269596642.38797206
2015-08-09,281080056.33758545
2015-08-10,279004990.8491361
2015-08-11,275598976.450727
2015-08-12,265668010.04778057
2015-08-13,260630804.86738017
2015-08-14,265734190.213539
2015-08-15,269477819.1879786
2015-08-16,265380759.3356385
2015-08-17,264735018.5295413
2015-08-18,259108814.29224
2015-08-19,247158725.88189313
2015-08-20,250804591.5899067
2015-08-21,251137945.5349403
2015-08-22,245926493.5920397
2015-08-23,241162878.44137916
2015-08-24,239582641.1979417
2015-08-25,231284806.58014944
2015-08-26,242646921.72104755
2015-08-27,245046008.24693027
2015-08-28,240735235.21316743
2015-08-29,251221618.517318
2015-08-30,261573281.77500284
2015-08-31,256023643.13257545
2015-09-01,253362209.86134332
2015-09-02,249324900.6354208
2015-09-03,240486419.04477903
2015-09-04,238176750.16138673
2015-09-05,254979792.15879193
2015-09-06,255692470.2996418
2015-09-07,256967561.20971113
2015-09-08,254277926.99246085
2015-09-09,249564701.23357752
2015-09-10,248776534.22919744
2015-09-11,273518554.32178396
2015-09-12,266858463.61790404
2015-09-13,277384655.754768
2015-09-14,240802889.25443205
2015-09-15,250679316.44457605
2015-09-16,241257724.717136
2015-09-17,239340918.12431195
2015-09-18,244604014.192744
2015-09-19,243077066.567952
2015-09-20,248047768.41035995
2015-09-21,235442328.443992
2015-09-22,233168151.13047203
2015-09-23,216859050.9678
2015-09-24,217476327.667184
2015-09-25,216014356.537064
2015-09-26,211368537.168016
2015-09-27,212343184.58809593
2015-09-28,204805911.206144
2015-09-29,181674279.102912
2015-09-30,179075219.316032
2015-10-01,176930994.99185604
2015-10-02,190446105.883632
2015-10-03,179952401.99410397
2015-10-04,170238416.04064
2015-10-05,163058513.379384
2015-10-06,173292311.290224
2015-10-07,177093436.22853598
2015-10-08,177093436.22853592
2015-10-09,177093436.228536
2015-10-10,164163113.788808
2015-10-11,164163113.78880802
2015-10-12,164163113.788808
2015-10-13,164163113.788808
2015-10-14,180568728.82561803
2015-10-15,178844605.81810197
2015-10-16,178877762.02978498
2015-10-17,172047582.423087
2015-10-18,164952153.122925
2015-10-19,167239931.72905198
2015-10-20,156994662.319005
2015-10-21,155635257.64000195
2015-10-22,156364694.297028
2015-10-23,154938977.194659
2015-10-24,153877978.420803
2015-10-25,152187011.62497002
2015-10-26,154839508.55961004
2015-10-27,153844822.20911998
2015-10-28,154640571.289512
2015-10-29,153745353.57407096
2015-10-30,160376595.910671
2015-10-31,155436320.36990404
2015-11-01,163062249.05699402
2015-11-02,169660335.181911
2015-11-03,177783607.04424605
2015-11-04,163095405.26867697
2015-11-05,149932389.23052606
2015-11-06,151225481.486163
2015-11-07,155602101.42831898
2015-11-08,154143228.114267
2015-11-09,152717511.01189792
2015-11-10,145854175.19351697
2015-11-11,140449712.68918806
2015-11-12,149302421.20854905
2015-11-13,148440359.70479104
2015-11-14,143168522.047194
2015-11-15,138095621.65969503
2015-11-16,138460339.98820797
2015-11-17,140947055.86443296
2015-11-18,141378086.616312
2015-11-19,140118150.57235795
2015-11-20,139952369.51394305
2015-11-21,140681806.17096904
2015-11-22,141510711.46304408
2015-11-23,142173835.696704
2015-11-24,140482868.90087098
2015-11-25,143002740.98877892
2015-11-26,141577023.88641
2015-11-27,142140679.48502094
2015-11-28,142098132.99612108
2015-11-29,143976229.63236907
2015-11-30,141058472.35819805
2015-12-01,137067517.00617108
2015-12-02,140085886.60014093
2015-12-03,142869494.11457998
2015-12-04,160074200.800209
2015-12-05,176373396.60764706
2015-12-06,179760678.04087996
2015-12-07,184724219.15096396
2015-12-08,223929486.43264103
2015-12-09,284732865.03116995
2015-12-10,286711573.98721695
2015-12-11,283223680.23418504
2015-12-12,283927966.472778
2015-12-13,294693484.69127095
2015-12-14,260854207.79887408
2015-12-15,224164248.51217192
2015-12-16,226511869.307482
2015-12-17,224432548.03163597
2015-12-18,214103016.532272
2015-12-19,210749272.538972
2015-12-20,209273625.18192
2015-12-21,210313285.819843
2015-12-22,207496140.86547095
2015-12-23,202163687.91612393
2015-12-24,200252053.83994296
2015-12-25,217590910.285304
2015-12-26,207328453.66580603
2015-12-27,213130430.77421495
2015-12-28,212560294.29535407
2015-12-29,209541924.701384
2015-12-30,207596753.18527004
2015-12-31,202666749.51511905
2016-01-01,199212393.20201993
2016-01-02,203639335.27317593
2016-01-03,201492939.117464
2016-01-04,199883142.0006799
2016-01-05,202633212.075186
2016-01-06,201492939.117464
2016-01-07,201492939.117464
2016-01-08,199245930.64195293
2016-01-09,201056952.39833504
2016-01-10,199547767.60135
2016-01-11,197904433.04463303
2016-01-12,197300759.12583905
