date,market_cap
2020-04-11,7827651.892659198
2020-04-12,6173607.678345317
2020-04-13,7269680.447445141
2020-04-14,6302364.150584625
2020-04-15,5306221.06575891
2020-04-16,5114653.932636794
2020-04-17,5505929.486978686
2020-04-18,5348323.975349362
2020-04-19,5423066.285864263
2020-04-20,4844617.211182358
2020-04-21,4285479.154681022
2020-04-22,4591546.761226098
2020-04-23,5446538.173850838
2020-04-24,4909586.999036558
2020-04-25,5027193.620409137
2020-04-26,5173619.233465031
2020-04-27,5137791.330825961
2020-04-28,4616001.375155629
2020-04-29,5283691.351331575
2020-04-30,5897415.537215416
2020-05-01,5635423.505964131
2020-05-02,5735879.899599453
2020-05-03,5669404.169981707
2020-05-04,5486412.385664286
2020-05-05,5354861.583908894
2020-05-06,5195811.6286706
2020-05-07,5010066.054780242
2020-05-08,4874818.721855924
2020-05-09,4827334.908169065
2020-05-10,4816707.909418276
2020-05-11,4324416.949285259
2020-05-12,4171226.2991002905
2020-05-13,4266741.231304909
2020-05-14,4413742.897500913
2020-05-15,4570789.918376839
2020-05-16,4432087.508991812
2020-05-17,4752035.386171752
2020-05-18,4898008.357759836
2020-05-19,5213969.633802138
2020-05-20,4996233.199332481
2020-05-21,4629608.829738474
2020-05-22,4853042.594897839
2020-05-23,4919865.806567834
2020-05-24,4866957.615424991
2020-05-25,4374843.160369413
2020-05-26,4809730.17960867
2020-05-27,4598505.351008801
2020-05-28,4715158.090275346
2020-05-29,9366383.783941554
2020-05-30,9427078.266084636
2020-05-31,9591470.33610501
2020-06-01,9399234.951485896
2020-06-02,9424972.586161828
2020-06-03,9310563.109433703
2020-06-04,9614805.94741188
2020-06-05,9543805.262487222
2020-06-06,10747702.95638117
2020-06-07,10180036.835310562
2020-06-08,10138083.793723866
2020-06-09,10913789.386770498
2020-06-10,10726797.093153996
2020-06-11,10648020.65447342
2020-06-12,9341515.406268211
2020-06-13,9722321.601662133
2020-06-14,9955797.604756866
2020-06-15,9583560.125035351
2020-06-16,9320494.000741212
2020-06-17,9519846.38912149
2020-06-18,9549958.35463254
2020-06-19,10224928.435807472
2020-06-20,11247343.894203106
2020-06-21,10673766.043338615
2020-06-22,11086240.79289364
2020-06-23,11996277.112687156
2020-06-24,11646898.982503338
2020-06-25,12150092.54225176
2020-06-26,11741625.18994288
2020-06-27,12079079.145186102
2020-06-28,11750514.839677684
2020-06-29,13136127.952360293
2020-06-30,14062849.974509096
2020-07-01,14164459.013979023
2020-07-02,13737840.609279668
2020-07-03,12783903.734507758
2020-07-04,12672163.175031388
2020-07-05,12892264.592707587
2020-07-06,11423393.47428414
2020-07-07,11691026.180906912
2020-07-08,12435090.742149867
2020-07-09,13138366.724263769
2020-07-10,14045120.422821058
2020-07-11,15112460.37027957
2020-07-12,15255277.05816987
2020-07-13,16696748.621766666
2020-07-14,20428062.235112287
2020-07-15,19972946.84442129
2020-07-16,24362181.926540542
2020-07-17,17274473.46197496
2020-07-18,20917439.75564856
2020-07-19,20602905.143447436
2020-07-20,19624140.864785753
2020-07-21,18811046.939017244
2020-07-22,20859692.480081823
2020-07-23,23288212.437627885
2020-07-24,23621340.96676559
2020-07-25,22240716.375305213
2020-07-26,27986367.374513853
2020-07-27,35745817.7886529
2020-07-28,41165009.82828771
2020-07-29,41629008.98213003
2020-07-30,40210662.87394944
2020-07-31,41117076.71814283
2020-08-01,37711209.168728195
2020-08-02,37591996.350815535
2020-08-03,42382004.442631856
2020-08-04,43879557.43250306
2020-08-05,46368816.3139189
2020-08-06,43050611.45569475
