date,market_cap
2020-09-17,219913212.47869825
2020-09-18,219913212.47869825
2020-09-19,732822061.0330778
2020-09-20,647208421.0707141
2020-09-21,632421347.516945
2020-09-22,526520586.45950305
2020-09-23,487186362.8207511
2020-09-24,558449301.5904285
2020-09-25,670712373.8758416
2020-09-26,646853075.535181
2020-09-27,691125372.1503159
2020-09-28,689402232.077857
2020-09-29,622352706.2677807
2020-09-30,641030584.1185127
2020-10-01,620840802.3152523
2020-10-02,636514926.1406465
2020-10-03,643770085.9726512
2020-10-04,704073930.1747521
2020-10-05,676286308.1652026
2020-10-06,604064456.4319453
2020-10-07,484435475.7614607
2020-10-08,540709193.0312451
2020-10-09,603384806.4011482
2020-10-10,624766817.7307591
2020-10-11,605086419.1414492
2020-10-12,620284007.0059217
2020-10-13,636858098.7676747
2020-10-14,619474718.5315651
2020-10-15,577560863.213238
2020-10-16,573329621.3129594
2020-10-17,568053942.0466825
2020-10-18,573608919.3394606
2020-10-19,658475452.6602299
2020-10-20,638986846.1577828
2020-10-21,574630017.2192171
2020-10-22,590704390.9094771
2020-10-23,613902134.4513645
2020-10-24,608790596.9414719
2020-10-25,594863487.4925164
2020-10-26,582236710.6524885
2020-10-27,569460992.1533448
2020-10-28,595487146.8850842
2020-10-29,563330287.0275949
2020-10-30,536652174.1634711
2020-10-31,509800102.67010105
2020-11-01,479933274.3121692
2020-11-02,505102350.9126218
2020-11-03,482105416.860576
2020-11-04,459013051.13185984
2020-11-05,411540818.446762
2020-11-06,472797950.4393272
2020-11-07,546090935.4543844
2020-11-08,535529641.5250265
2020-11-09,620585818.9074469
2020-11-10,573849148.3657682
2020-11-11,656695052.9585853
2020-11-12,630203163.1012877
2020-11-13,638318912.7352413
2020-11-14,837054899.1487976
2020-11-15,824295398.9563959
2020-11-16,832451942.6779054
2020-11-17,770626828.1027259
2020-11-18,823469580.4665115
2020-11-19,744366290.5439156
2020-11-20,801066288.3822533
2020-11-21,823599938.8097627
2020-11-22,819420815.5549861
2020-11-23,798274699.6803893
2020-11-24,888267428.9186445
2020-11-25,875380216.1524823
2020-11-26,787449062.6068666
2020-11-27,733369987.3925536
2020-11-28,713179854.7216576
2020-11-29,743811283.7156703
2020-11-30,759264594.5007293
2020-12-01,809636090.5766013
2020-12-02,766671246.6754014
2020-12-03,857916550.9757915
2020-12-04,836700609.727124
2020-12-05,757755073.8714986
2020-12-06,792687386.2649285
2020-12-07,781382593.6960821
2020-12-08,808737480.205302
2020-12-09,715633175.911876
2020-12-10,723460573.708362
2020-12-11,698376510.5489792
2020-12-12,640057166.0529337
2020-12-13,671894509.5713987
2020-12-14,716172377.566087
2020-12-15,749375717.9281832
2020-12-16,718477508.3040215
2020-12-17,757153519.1393195
2020-12-18,790423837.0289786
2020-12-19,809123722.42147
2020-12-20,850581432.1663342
2020-12-21,810382324.7022611
2020-12-22,759874427.4792111
2020-12-23,805673159.5674238
2020-12-24,721651796.4986829
2020-12-25,753575318.6977578
2020-12-26,753044951.8807377
2020-12-27,732677812.4878981
2020-12-28,779517935.104836
2020-12-29,804350306.086027
2020-12-30,795250241.3937147
2020-12-31,895773489.9060061
2021-01-01,1099631636.1653872
2021-01-02,1022200635.804044
2021-01-03,1044423165.7654226
2021-01-04,1202761112.676848
2021-01-05,1126797182.5802605
2021-01-06,1362188547.634318
2021-01-07,1373830072.1371005
2021-01-08,1347490392.6306486
2021-01-09,1270376211.550848
2021-01-10,1357012421.554772
2021-01-11,1303546945.5403168
2021-01-12,1121096311.700495
2021-01-13,1195720707.535306
2021-01-14,1358006365.812793
2021-01-15,1455037823.321067
2021-01-16,1602472033.421857
2021-01-17,1813071125.511511
2021-01-18,1885359961.3471704
2021-01-19,1956879124.5671573
2021-01-20,1873169648.1414063
2021-01-21,1935928979.245395
2021-01-22,1646769126.744525
2021-01-23,1878962888.688168
2021-01-24,1999895064.950138
2021-01-25,3457719717.4881573
2021-01-26,3257781268.7760725
2021-01-27,3910299627.3158913
2021-01-28,4262672055.7619066
2021-01-29,4050510658.044183
2021-01-30,4457719714.651553
2021-01-31,5526735076.374684
2021-02-01,5088183581.45538
2021-02-02,5871493276.726128
2021-02-03,5508085635.714836
2021-02-04,5686308871.089227
2021-02-05,5769499937.505494
2021-02-06,6321799769.83289
2021-02-07,5766938732.57773
2021-02-08,5535603356.336959
2021-02-09,5744354009.214107
2021-02-10,5848771610.388897
2021-02-11,6189233659.319318
2021-02-12,6429248007.496799
2021-02-13,6815508552.601418
2021-02-14,6540139184.216119
2021-02-15,6278943841.250568
2021-02-16,5982610726.858003
2021-02-17,6110386492.831019
2021-02-18,6427499907.742221
2021-02-19,6335641981.136545
2021-02-20,6006310925.07141
