Categoria: Todas as categorias

Month,crypto: (Worlwide)
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,2
2017-04,2
2017-05,3
2017-06,5
2017-07,4
2017-08,6
2017-09,7
2017-10,6
2017-11,9
2017-12,26
2018-01,35
2018-02,18
2018-03,12
2018-04,10
2018-05,10
2018-06,8
2018-07,8
2018-08,8
2018-09,8
2018-10,8
2018-11,7
2018-12,7
2019-01,6
2019-02,6
2019-03,6
2019-04,7
2019-05,8
2019-06,9
2019-07,7
2019-08,6
2019-09,6
2019-10,6
2019-11,6
2019-12,5
2020-01,6
2020-02,8
2020-03,7
2020-04,7
2020-05,8
2020-06,8
2020-07,9
2020-08,12
2020-09,9
2020-10,8
2020-11,10
2020-12,13
2021-01,27
2021-02,48
2021-03,42
2021-04,74
2021-05,100
2021-06,46
2021-07,34
2021-08,46
2021-09,50
2021-10,64
2021-11,95
2021-12,73
2022-01,84
2022-02,63
2022-03,54
2022-04,49
2022-05,55
2022-06,40
2022-07,33
2022-08,30
2022-09,29
2022-10,25
2022-11,35
2022-12,26
2023-01,28
2023-02,28
2023-03,27
2023-04,26
2023-05,24
2023-06,24
2023-07,25
2023-08,24
2023-09,21
2023-10,24
2023-11,30
2023-12,35
2024-01,36
