Categoria: Todas as categorias

País,factor
Gibraltar,
Benin,
Burkina Faso,
Netherlands,100
Nigeria,98
Cayman Islands,
St. Martin,
Togo,
Singapore,77
Jersey,
Guernsey,
Caribbean Netherlands,
Slovenia,71
French Polynesia,
Belgium,67
Isle of Man,
Cameroon,
Bermuda,
St. Helena,65
Cyprus,64
Liechtenstein,
Malta,
Luxembourg,
Curaçao,
British Virgin Islands,
Andorra,
Côte d’Ivoire,58
Australia,57
United Arab Emirates,56
Kosovo,
Palau,
Dominica,
China,50
North Macedonia,
Montserrat,
Sint Maarten,
Switzerland,47
Canada,47
Eritrea,
U.S. Virgin Islands,
Botswana,
New Zealand,46
St. Barthélemy,
Romania,45
Ireland,45
Bahamas,
Philippines,43
New Caledonia,
Cook Islands,
Madagascar,
Estonia,42
Turks & Caicos Islands,
France,39
Lithuania,39
Antigua & Barbuda,
Guam,
United Kingdom,38
Lebanon,38
Maldives,
Eswatini,
Burundi,
Pakistan,38
South Africa,37
Lesotho,
Hong Kong,37
Svalbard & Jan Mayen,
Croatia,36
Latvia,36
Barbados,
Laos,
United States,36
Faroe Islands,
Ghana,36
Aruba,
Bulgaria,35
Albania,
Western Sahara,
Namibia,
Norway,34
Central African Republic,
Bahrain,
St. Kitts & Nevis,
Portugal,33
Mongolia,
Trinidad & Tobago,
Suriname,
Congo - Brazzaville,
Åland Islands,
Mauritius,
Morocco,31
Iceland,
Sri Lanka,31
Bhutan,
Seychelles,
Guadeloupe,
French Guiana,
San Marino,
Haiti,
Gabon,
Papua New Guinea,
Myanmar (Burma),
Cambodia,
Niger,
Martinique,
Puerto Rico,
Réunion,
Kenya,27
Uganda,
Northern Mariana Islands,
Georgia,
Afghanistan,
St. Lucia,
Djibouti,
Senegal,
Qatar,
Rwanda,
Greece,25
Somalia,
Vanuatu,
Ethiopia,
St. Pierre & Miquelon,
Serbia,24
Gambia,
Montenegro,
Grenada,
Malaysia,23
Brunei,
Slovakia,22
Zimbabwe,
Italy,22
Nepal,
Austria,22
Czechia,22
Monaco,
Greenland,
Equatorial Guinea,
Finland,21
Israel,20
Congo - Kinshasa,
Denmark,20
Jamaica,
Indonesia,19
Belize,
Samoa,
Mali,
Tunisia,
Sweden,19
American Samoa,
Chad,
India,18
Kuwait,
Anguilla,
St. Vincent & Grenadines,
Armenia,
Moldova,
Cuba,
Spain,18
Hungary,17
Malawi,
Zambia,
Bosnia & Herzegovina,
Solomon Islands,
Bangladesh,16
Germany,16
Mayotte,
Guinea,
Macao,
Mauritania,
Oman,
Cape Verde,
Panama,
Sierra Leone,
São Tomé & Príncipe,
South Korea,14
Thailand,14
Tonga,
Fiji,
Guyana,
Liberia,
Palestine,
Tanzania,
Argentina,13
South Sudan,
Costa Rica,
Comoros,
Poland,11
Algeria,11
Jordan,
Venezuela,10
Vietnam,10
Dominican Republic,
Iran,10
Angola,
Chile,10
Uzbekistan,
Ukraine,9
Saudi Arabia,9
Brazil,9
Uruguay,
Libya,
El Salvador,
Azerbaijan,
Mozambique,
Russia,7
Taiwan,7
Iraq,
Türkiye,6
Belarus,
Kyrgyzstan,
Timor-Leste,
Colombia,6
Egypt,6
Paraguay,
Mexico,5
Honduras,
Guinea-Bissau,
Tajikistan,
Kazakhstan,
Peru,5
Yemen,
Ecuador,
Nicaragua,
Syria,
Guatemala,
Bolivia,
Turkmenistan,
Sudan,
Japan,2
Heard & McDonald Islands,
Norfolk Island,
Antarctica,
Nauru,
U.S. Outlying Islands,
Tuvalu,
Pitcairn Islands,
British Indian Ocean Territory,
Vatican City,
Christmas Island,
Kiribati,
Falkland Islands (Islas Malvinas),
Micronesia,
Bouvet Island,
South Georgia & South Sandwich Islands,
Wallis & Futuna,
French Southern Territories,
Cocos (Keeling) Islands,
Tokelau,
North Korea,
Marshall Islands,
Niue,
