tokens,value
bitcoin, 0.8563365367067721
BNB, 0.5819403467180733
solana, 0.35367092796558774
XRP, 0.5963883528767373
dogecoin, 0.7139514989531129
cardano, 0.8515776927006912
polkadot, 0.8426558873875256
chainlink, 0.6326629095110026
litecoin, 0.727261032450659
uniswap, 0.7979779845730679
filecoin, 0.5488703852123002
fetch.ai, 0.2964594191117143
monero, 0.8621309132612747
singularitynet, 0.2560448968205238
tezos, 0.5921617355488416
kucoin, 0.6854417267252785
pancakeswap, 0.761355087508894
oasis network, 0.3711885657054185
ocean protocol, 0.5350690454621244
