Week,bitcoin: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2019-04-07,13,2019-04-07,5062.793945,5235.186523,5050.412109,5198.896973,5198.896973,16655416140
2019-04-14,11,2019-04-14,5095.758789,5184.016113,5053.568359,5167.722168,5167.722168,10391952498
2019-04-21,12,2019-04-21,5335.878906,5359.924805,5257.339355,5314.53125,5314.53125,13731844223
2019-04-28,11,2019-04-28,5271.746582,5326.231934,5255.683594,5285.13916,5285.13916,12819992056
2019-05-05,14,2019-05-05,5831.068359,5833.862793,5708.035156,5795.708496,5795.708496,14808830723
2019-05-12,23,2019-05-12,7203.507324,7503.87207,6815.770996,6972.371582,6972.371582,27773333680
2019-05-19,17,2019-05-19,7267.962891,8261.941406,7267.962891,8197.689453,8197.689453,25902422040
2019-05-26,19,2019-05-26,8055.206055,8687.520508,7924.67041,8673.21582,8673.21582,26677970091
2019-06-02,15,2019-06-02,8565.473633,8809.303711,8561.235352,8742.958008,8742.958008,20266216022
2019-06-09,15,2019-06-09,7949.674805,7975.974121,7583.219727,7688.077148,7688.077148,16610726547
2019-06-16,20,2019-06-16,8841.44043,9335.867188,8814.556641,8994.488281,8994.488281,23348550311
2019-06-23,31,2019-06-23,10696.691406,11246.144531,10556.095703,10855.371094,10855.371094,20998326502
2019-06-30,21,2019-06-30,11931.991211,12178.383789,10799.008789,10817.155273,10817.155273,27256473494
2019-07-07,20,2019-07-07,11217.616211,11541.620117,11148.804688,11450.84668,11450.84668,19369044277
2019-07-14,21,2019-07-14,11381.020508,11451.204102,10234.576172,10256.058594,10256.058594,22486000001
2019-07-21,16,2019-07-21,10777.529297,10841.887695,10389.599609,10599.105469,10599.105469,17130580467
2019-07-28,15,2019-07-28,9491.626953,9575.544922,9252.296875,9552.860352,9552.860352,13738687093
2019-08-04,18,2019-08-04,10821.632813,11009.207031,10620.27832,10970.18457,10970.18457,16530894787
2019-08-11,17,2019-08-11,11349.740234,11523.579102,11248.294922,11523.579102,11523.579102,15774371518
2019-08-18,15,2019-08-18,10233.005859,10487.070313,10119.094727,10345.810547,10345.810547,12999813869
2019-08-25,14,2019-08-25,10160.737305,10304.62207,10008.789063,10138.517578,10138.517578,14153856610
2019-09-01,14,2019-09-01,9630.592773,9796.755859,9582.944336,9757.970703,9757.970703,11445355859
