Week,ethereum: (Worldwide),Date,Open,High,Low,Close,Adj Close,Volume
2019-04-07,3,2019-04-07,165.977249,175.213165,164.932098,174.531647,174.531647,7596176020
2019-04-14,3,2019-04-14,164.476089,168.591034,162.781479,167.838516,167.838516,4846298303
2019-04-21,3,2019-04-21,173.715408,174.420776,167.428589,170.046524,170.046524,6005571688
2019-04-28,3,2019-04-28,158.499771,159.565384,157.125519,157.295074,157.295074,5379894433
2019-05-05,3,2019-05-05,164.015259,165.399979,159.700653,163.450699,163.450699,5938415562
2019-05-12,7,2019-05-12,194.163025,201.881485,183.653931,187.325317,187.325317,10326050090
2019-05-19,5,2019-05-19,234.449463,263.740997,233.758667,261.292206,261.292206,12049250894
2019-05-26,5,2019-05-26,251.724792,269.166534,247.245392,267.069641,267.069641,9664267731
2019-06-02,3,2019-06-02,265.512726,272.80722,265.04187,270.225525,270.225525,8744111713
2019-06-09,3,2019-06-09,245.540482,245.972824,229.257431,233.0867,233.0867,7566421456
2019-06-16,5,2019-06-16,268.901154,278.143188,265.535339,269.223206,269.223206,9676746453
2019-06-23,7,2019-06-23,309.416687,318.565674,305.764587,307.827789,307.827789,8161062380
2019-06-30,6,2019-06-30,319.584045,322.789581,290.695984,290.695984,290.695984,10303111000
2019-07-07,10,2019-07-07,287.603607,310.139313,286.109192,305.700562,305.700562,8119724981
2019-07-14,14,2019-07-14,269.281616,269.641235,227.269211,227.578064,227.578064,8578339386
2019-07-21,3,2019-07-21,229.167694,229.861664,219.027756,225.630768,225.630768,6685082868
2019-07-28,3,2019-07-28,207.413773,212.04184,202.252899,211.186554,211.186554,5504887934
2019-08-04,3,2019-08-04,222.580811,224.227295,218.492172,222.669724,222.669724,5238542572
2019-08-11,3,2019-08-11,206.732239,216.598648,206.510803,216.092865,216.092865,6440605605
2019-08-18,3,2019-08-18,185.841095,197.522491,183.692245,194.49353,194.49353,5969012024
2019-08-25,3,2019-08-25,191.234787,192.16333,184.964752,186.842392,186.842392,5826017143
